cell_id	Barcode	ChAT	fru	Gad1	SerT	sNPF	tbh	Ple	VGlut	x	y	umap_1	umap_2	clust_label
1	1111111000	185925	4395	4824	3778	510579	10759	4800	504457	489.41	2.8763	-2.671872	1.5029294	0
39	2111011221	22610	3	301354	28	91466	246	27	59	26.528000000000002	291.47	-2.7511468	5.3386774	1
41	2010011221	32181	802	170048	4	287953	11384	0	149023	39.047	145.04	-3.1062531	3.2952998	2
43	2010011221	64339	103	52446	32	142172	828	14159	21459	38.691	1102.3	-1.7055045	4.743432	1
52	1111111001	25028	0	0	0	63079	0	0	54261	48.534	249.81	-3.2024972	4.8946414	1
76	2111011221	67468	1094	729	3	120936	3520	12465	73624	73.59899999999999	1127.7	-1.7342689	4.519949	1
81	1111111101	880	578	14632	46	153874	76	0	30	79.95100000000001	213.9	-2.9107885	5.3227053	1
85	112011211	66147	1696	24213	670	251580	5777	939	73456	90.027	1122.3	-1.6398985	4.1423144	3
86	1110111011	92112	198	111019	37	243943	8589	104	33283	93.166	1161.9	0.7623766	3.831923	4
89	2112011122	80384	361	6951	99	278841	537	0	88506	103.82	1098.6	-1.5065342	4.3665648	3
99	112011211	53752	57	6026	17	136651	7291	8	2752	145.51	1136.8	-1.6913223	4.5945306	1
102	1110111011	86956	22543	51510	122	283445	2477	0	4534	157.27	1161.7	1.9625747	5.5916357	5
105	1110111011	66	0	7381	34	40520	153	0	556	167.8	1193.6	-3.0370843	5.072468	1
112	2110111221	113074	1242	27370	49	361518	14649	12978	66925	206.88	1120.7	2.0355992	3.2560835	4
116	212001000	172210	22	3221	324	600922	6170	20	2321	215.25	1163.6	3.567322	3.0368233	4
117	102001010	5458	0	0	13	148287	344	0	31	214.17	1189.0	-2.9062417	5.241698	1
122	211101	61241	53	27930	92	168881	30	0	466	242.05	1092.5	-1.673614	4.7537103	1
125	21001000	98898	93	245	300	550846	1072	0	292	254.87	1181.7	2.0194027	5.396442	5
128	212001000	94776	193	197	215	487270	1604	0	1861	258.78	1150.1	1.913932	5.24224	5
129	1110111011	60618	4533	115272	77	221932	353	22	15874	263.34	1087.2	-1.7069334	5.262256	1
130	2010112221	98740	34981	2292	149	301258	370	53	516785	271.83	1108.3	-2.9274888	0.63002497	6
134	121001000	231296	153	194	491	713270	2695	114	931	285.01	1165.5	5.031204	1.7707304	4
135	2200211200	101616	244	831	270	339706	670	56	490	283.84	1187.1	1.399817	4.4175167	4
146	2010012221	29097	89	1995	110	286774	446	120	116781	308.82	1088.0	-3.9382699	3.594158	2
148	2010112221	70978	157	1400	248	429775	665	0	221305	317.01	1110.3	-2.980867	2.598285	2
149	212001000	155883	168	1446	273	463147	783	234	6098	318.55	1133.2	3.3716486	3.830145	4
153	2200211200	12565	1	0	19	241207	3659	0	255	325.6	1291.8	-2.395633	5.6822715	1
166	2200211200	253143	4512	1362	401	487443	6838	49	1185	341.49	1197.2	5.639859	1.9690895	4
167	2000211200	64287	2823	93	141	211884	577	57	561	335.48	1229.3	-0.7196109	4.747923	7
168	2012012201	116908	547	502	222	495080	5438	0	332368	348.36	1121.6	-2.7718232	2.2147903	2
170	2010012221	37064	1253	17860	833	370170	14243	0	300207	350.19	1055.7	-3.4527657	1.2838454	0
171	2010012221	73344	9970	2406	412	325832	506	14	475648	345.25	1072.7	-3.531509	0.7034906	0
175	2200212200	146019	53	184	290	391497	1137	0	921	352.02	1217.4	3.336244	4.051214	4
176	2010111001	49523	128	1916	167	307555	951	95	261068	350.36	1102.5	-3.554258	2.6792545	2
177	1121111000	212223	59	210	279	1054941	10407	0	167040	359.25	1150.1	3.2980192	1.6676744	4
186	2010012221	120077	33831	1441	240	364783	892	0	538291	364.08	1081.1	-2.802293	0.8039599	6
187	2200211200	139070	11	37	179	676563	2616	45	554	360.19	1255.3	3.39664	2.967532	4
192	2220212220	116508	20	288	211	419267	536	118	874	372.49	1238.0	2.0138364	4.49323	4
194	2200211200	97829	203	1055	2222	782349	2167	7	3116	377.16	1271.4	2.2476406	6.053534	-1
196	2220211220	179345	58	410	105	437461	660	0	2213	378.11	1214.7	4.25933	3.463438	4
200	100211101	111986	2990	134249	1617	393145	63332	764	2184	388.17	1034.3	3.7169082	1.5233351	-1
201	2010112221	51397	884	1778	40	460311	681	70	284540	389.04	1087.3	-3.1650808	2.2380614	2
202	101111101	230	66	386998	250	40914	465	0	74	389.0	349.73	-7.7826424	-1.4752302	8
204	1111001000	41684	92	133	142	425866	1066	0	430761	392.55	1132.7	-3.6813824	0.75858617	0
205	121001000	242158	587	1112	312	710110	3668	446	95281	398.87	1156.3	4.9677014	1.7630948	4
207	2120212220	129566	605	94	270	506325	1305	0	440	397.72	1245.2	2.8534205	3.963304	4
208	2120212020	78289	0	179	38	233473	228	0	833	395.51	1287.2	-0.53689593	4.645975	7
209	2120212020	108363	1004	74	347	497948	1069	4738	1426	397.17	1207.3	2.195285	4.956621	5
213	2010011221	81124	1942	1180	192	257256	13937	0	445	408.23	1016.9	1.6784929	3.4025483	4
215	2120212020	187525	1712	17	132	406321	870	0	822	410.07	1271.2	4.6955876	3.362344	-1
216	122011221	78462	131172	796	394	1926609	622	2435	1708	411.3	1376.1	6.8206773	-2.8823185	9
219	2200211200	168052	473	98	185	2338546	1506	4296	2876	416.66	1321.2	5.665295	-2.1956432	9
220	2120212010	60554	206	25	69	400405	451	21	542	412.39	1303.0	-0.12778288	5.383968	7
221	1111001000	180620	90	139131	294	456140	1327	0	1189	415.53	1055.8	4.004823	3.577968	4
224	1110111000	125558	61	59850	379	363208	29298	14	289	417.68	1034.6	2.784038	2.3789015	4
225	2120212020	110623	161	313	285	410039	8673	213	6510	415.78	1346.7	2.0790656	3.5188649	4
228	2120212020	230977	0	268	49	361828	2892	29182	1802	415.79	1219.8	5.686773	2.95528	4
231	2120212120	229355	82	333	413	475025	1837	49	382	422.91	1255.0	5.490053	2.7131445	4
233	2210211200	160429	1010	797	536	568463	9164	57933	3997	425.47	1193.9	3.3262205	3.0926294	4
234	111111100	407554	249	3660	894	775556	3494	442	12975	429.77	1161.2	5.4128723	0.84215415	4
239	2120212020	140466	10564	20	755	673717	5480	0	24269	440.59	1366.3	3.544499	2.530728	4
241	122011221	32342	9059	17	101	249750	112	0	800	437.32	1415.2	-1.2193954	6.629377	10
246	2120212220	149077	146	231	924	737823	19883	372610	11803	449.52	1211.8	0.007830457	6.465231	11
248	1111111010	96508	2320	1181	151	261887	25694	16	372	446.74	1027.5	2.2323945	2.8715382	4
249	1121011101	89753	6774	3480	1108	619958	7313	62	628909	450.02	1134.8	-3.0287144	0.29295334	0
250	2200211200	235754	133	592	331	331636	1336	288	2333	448.85	1181.4	5.6912937	3.0337112	4
251	2120212020	54791	5400	502	156	423060	6131	0	1082	447.08	1259.2	0.6300772	5.895197	16
252	2200211200	106948	246	555	225	4024643	191	13930	5489	451.09	1325.1	6.9206376	-2.9617436	9
253	2010012221	35108	8	13263	171	489151	3507	108	319409	457.17	1096.1	-3.597484	1.2901508	0
255	122011221	150326	3225	30	101	540119	1327	0	1008	454.94	1395.0	3.3193252	3.3412235	4
259	2120212020	95477	56	236	212	398044	3031	27	5724	462.96	1359.9	1.5009567	4.692636	4
260	122011221	40065	6124	338	1557	574598	1728	0	768	463.25	1423.9	1.1369505	6.818455	12
261	1110111011	172452	3281	11253	590	291919	8768	683	542	465.33	1015.7	4.201566	3.6833398	4
266	1111111111	109778	263	20412	103	412763	668	0	693	469.85	1037.0	1.8580085	4.5838757	4
268	2120212220	66506	6931	482	300	551823	1108	71	101968	472.2	1307.2	1.0542327	7.3927183	12
270	2200211200	133656	17796	5951	16783	592357	27741	24152	5930	479.8	1194.7	3.1620834	1.9259268	4
272	1111111000	53248	93	8038	1652	879316	16513	30	1316581	481.24	1120.3	-2.7907226	-1.4650776	0
273	122011221	100390	1184	157	618	369144	10534	24	793	479.23	1378.7	1.9890854	3.4358175	4
276	122011221	30869	6821	317	146	391080	313	0	202	477.82	1471.2	-0.7271653	7.086578	10
277	1111111111	53916	12	13159	272	381857	12264	47	352858	487.84	1145.6	-3.5242891	1.200545	0
