cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
1,2122011221,661,236,761,394674,143275,239656,144278,673750,168842,290187,139857,1,1
2,2122011221,724,244,1054,446661,282169,2067143,224622,1391614,255588,501201,211060,1,1
3,2122011221,685,266,1006,894827,387024,358593,199686,1247894,241683,397127,193067,1,1
4,2122011221,632,267,608,390327,118623,209775,118475,634597,164828,237502,123055,1,1
5,0000000000,657,272,542,428873,178248,178643,102300,513266,120811,181059,100574,0,1
6,2122011221,832,276,709,261494,162728,2004746,155368,1039266,161718,316834,144703,1,1
7,2122011221,714,282,863,745734,310811,341454,166823,1036051,207142,346477,164820,1,1
8,2122011221,887,285,1257,491371,331574,2697825,270739,1558668,287510,562655,257664,1,1
9,2122011221,760,287,1267,1087392,310006,451003,260678,1486883,305767,501256,248301,1,1
10,2122011221,614,290,519,638144,132471,270928,116602,988089,125486,240471,103110,1,1
11,0000000000,642,286,186,181877,47574,80459,41444,225209,45087,80091,36514,0,1
12,2122011221,664,299,690,469852,143046,648786,144699,737377,219016,297239,128848,1,1
13,2122011221,936,305,1143,421026,276650,3087199,250509,1459438,275119,485794,230538,1,1
14,2122011221,812,306,1050,442859,320471,1847923,231576,1395673,240810,483786,213338,1,1
15,2122211221,628,308,625,469661,145872,936076,128270,716876,144570,279914,120033,7,1
16,0000000000,645,304,196,192113,43517,313549,43198,210503,45181,84833,41561,0,1
17,2122011221,849,309,745,322783,230488,2334415,171966,1129676,173109,369831,150771,1,1
18,2122011221,582,319,1201,986096,278888,1516378,252812,1487073,286775,490729,236031,1,1
19,2122011221,750,318,811,554592,219307,549295,161988,836960,174845,293788,150896,1,1
20,2122011221,960,314,275,96711,53522,614716,54839,324676,64279,109903,53173,1,1
21,2122011221,890,330,930,367738,210624,2437230,205618,1233399,217718,422649,185476,1,1
22,0000000000,916,325,248,81820,47195,594497,50004,268440,52009,91264,45031,0,1
23,2122011221,969,332,637,214197,131494,1446901,133778,793167,142939,253620,124007,1,1
24,2122011221,547,339,1205,554508,282249,3738899,261520,2108449,274954,582257,238325,1,1
25,2122011221,772,338,920,362612,215829,2569277,193123,1248557,203672,412323,183038,1,1
26,2122011221,609,337,756,549467,171110,2202854,167990,886853,231850,329635,152798,1,1
27,2122011221,660,339,1381,601388,403903,7372798,305582,1869266,338956,664051,281064,1,1
28,2122011221,940,337,602,238041,145226,2670313,136315,980489,146242,291333,122827,1,1
29,2122011221,993,350,1131,535652,363109,2710072,258717,1674162,275005,584835,240549,1,1
30,2122011221,860,354,989,384100,253671,2536496,216762,1613693,229036,461144,208032,1,1
31,2122011221,913,359,1103,430559,280929,3530914,251610,1761998,269940,517489,228131,1,1
32,2122011221,800,357,896,365976,255733,1806301,193827,1132482,200647,411105,188390,1,1
33,2122011221,1028,360,649,219184,142371,1288199,133199,901240,144429,272685,127765,1,1
34,2122011221,739,367,1470,663313,406742,5400501,325827,2093074,365033,729130,298845,1,1
35,2122011221,520,365,857,672986,201980,699300,175174,1027192,180236,332191,168541,1,1
36,2122011221,948,366,933,343236,229576,1953829,202419,1197899,220058,400349,190237,1,1
37,2122011221,664,365,435,188680,122256,2883514,97637,775287,105026,202998,86171,1,1
38,2122012221,546,369,372,155119,92936,1169769,74816,425951,81818,151348,72843,0,1
39,2122011221,822,375,818,344592,195201,2791765,183126,1136396,198932,387704,180785,1,1
40,2122011221,584,387,1144,1198086,354637,1192876,246593,1560724,274212,497070,231520,1,1
41,2122011221,492,384,824,514740,188833,295285,172066,923909,360705,335522,166773,1,1
42,2122011221,1017,381,493,168009,100425,731146,103957,552324,108361,205171,95849,1,1
43,2122011221,1050,385,784,258238,169959,1960545,162842,1038815,171633,313263,153315,1,1
44,2122011221,986,387,1006,406496,275656,2484975,229861,1345196,238132,450030,210059,1,1
45,2122011221,671,393,1219,483055,282318,3333730,264014,1748057,289707,556033,245656,1,1
46,0000000000,524,396,1071,551234,287551,473672,203266,722345,225617,371618,199825,0,1
47,2122011221,713,399,1091,450479,245899,3059227,229833,1602808,258849,500189,210716,1,1
48,2122011221,627,409,1460,611177,391675,4225617,320559,2127476,342975,683966,296131,1,1
49,2122011221,778,409,1062,426051,263453,3090848,249091,1848181,251111,522069,221240,1,1
50,0000000000,1053,412,708,243248,143702,660910,147057,577916,155219,267772,141215,0,1
51,2122011221,543,421,872,760934,211722,522792,180368,1087553,198157,345670,164490,1,1
52,2122011221,591,424,1004,474584,256597,2851197,227586,1553213,235431,474561,207723,1,1
53,2122011221,504,426,873,784092,217995,330242,181856,1047837,328906,391248,169461,1,1
54,2122011221,720,429,900,364469,235618,1738246,199707,1190796,206121,411501,183596,1,1
55,2122011221,671,432,994,388766,237382,3318313,214917,1641988,236155,485282,202107,1,1
56,2122011221,475,454,1127,1529679,272327,402405,242985,1609404,291603,482572,226970,1,1
57,0000000000,511,452,734,801720,166291,263903,154204,914877,243746,302918,141558,0,1
58,2122011221,624,454,764,267978,158969,2709618,153278,788573,158515,290442,150550,1,1
59,2122011221,1144,466,2079,784689,519507,3397930,460791,2890769,477659,945379,421614,1,1
60,2122011221,1186,462,770,233777,156309,1248174,163438,972887,175476,420337,149570,1,1
61,2122011221,532,461,456,351050,99235,394372,94354,474282,99094,177249,88197,1,1
62,2122011221,589,469,1321,553287,379206,4889875,284859,1878336,309371,616171,263144,1,1
63,2112011221,557,473,825,367701,212090,2315083,175506,980774,186934,350847,161096,0,1
64,0000000000,793,473,920,363204,233206,355925,197694,548786,200291,369525,193712,0,1
65,0000000000,653,477,640,231498,129108,257617,132189,277101,132459,236942,120626,0,1
66,2122011221,493,484,1053,1551047,277875,384449,219645,1294797,235041,435047,215369,1,1
67,0000000000,634,489,402,167135,88282,188694,87823,233444,87109,170140,82623,0,1
68,2122011221,1195,489,464,140801,91266,1206762,94599,596092,101752,181757,89194,1,1
69,2122211221,1168,504,1062,362430,244274,2944037,218271,1371217,231085,442417,212498,7,1
70,2122011221,523,505,1162,1364246,260722,405596,236826,1080379,257771,448279,225532,1,1
71,2122211221,1138,500,583,187686,115922,1024959,123623,500356,128289,211466,115247,7,1
72,2122011221,1284,511,1217,549758,359596,2571527,294818,1889034,302859,607947,248137,1,1
73,0122011221,1254,505,669,239641,143181,1272034,142226,835691,167372,267923,130499,0,1
74,2122011221,554,510,865,1048603,222942,381273,185130,1141447,220706,381087,173324,1,1
75,0000000000,1122,515,694,271707,175331,313879,151179,351043,155340,276697,150541,0,1
76,0000000000,602,517,929,368791,196915,501893,187359,616870,193303,369644,178669,0,1
77,0000000000,1190,514,318,99808,60678,805890,62680,344265,68797,110986,63358,0,1
78,2122011200,493,522,728,613351,170192,253834,152130,854778,274060,303477,142663,11,1
79,2122011221,1211,528,625,202050,124655,1546421,132376,838285,138373,251230,123030,1,1
80,0000000000,1230,523,289,86322,52351,628304,53394,310053,57873,91899,54733,0,1
81,0000000000,1249,535,716,228163,154016,1971035,144524,938673,160280,279010,141986,0,1
82,0000000000,592,538,608,284562,138425,634095,128447,493893,143259,249490,122131,0,1
83,2122011200,1194,539,394,142025,81006,979031,81279,419434,85958,149600,83029,11,1
84,2100012021,479,547,891,676127,172534,290615,258321,1190226,227832,357656,173659,0,1
85,2122011221,556,551,1118,1629641,307085,458193,240512,1206597,263715,483879,223577,1,1
86,0000000000,1272,548,450,163518,90853,865834,95647,557451,99219,197867,90341,0,1
87,2122011221,447,560,1081,1087545,257367,380150,240391,1497505,514081,450783,214374,1,1
88,2122011221,521,561,1097,1353556,315320,431490,226250,1124630,265023,483719,219118,1,1
