cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
1,1111111000,1054,1737,652,158894,283824,126164,292603,243688,293595,133208,317575,5,1
2,0000000000,1025,1742,527,104724,232024,95108,222423,125640,241648,96511,819662,0,1
3,1100001101,1004,1754,645,139767,282390,117965,278472,156630,283817,115906,1142189,0,1
4,1111112000,1079,1752,677,160730,286628,123820,294807,154566,294803,125911,323601,0,1
5,0000000000,1041,1760,592,110623,243425,103001,234249,136854,243058,102536,263166,0,1
6,1111101000,1059,1771,495,123110,217129,91557,216063,205592,216211,99646,228103,28,1
7,0000000000,1022,1776,512,115084,210798,94197,212838,154359,225823,94501,282224,0,1
8,0000000000,1645,1785,723,148467,433868,172967,309528,150144,342715,132216,306858,0,1
9,0000000000,1621,1787,962,208514,515666,191468,441772,200069,433248,179625,420964,0,1
10,1101011000,1676,1784,935,195951,477703,484556,415748,222191,527469,175370,414980,23,1
11,1111111000,1074,1791,725,185839,347101,142361,332292,267265,342086,148063,351018,5,1
12,0000000000,1005,1792,695,170147,309823,137978,304760,172051,317855,132550,421103,0,1
13,0000000000,1036,1794,492,114404,222336,95650,235295,152267,261653,96736,654461,0,1
14,0000000000,1716,1790,552,123651,232592,119735,244918,118566,237190,97255,227093,0,1
15,0000000000,1053,1805,569,143796,287393,103250,243976,181754,251765,105798,273815,0,1
16,1111011021,1735,1807,1000,222325,415784,341589,426278,224466,441868,178546,409476,0,1
17,0000000000,978,1809,642,101146,236879,109797,234675,101851,240920,97113,278438,0,1
18,2101011021,1700,1816,1031,232987,523332,567402,446255,241867,501636,190597,434670,0,1
19,0000000000,1022,1812,290,65829,134376,63528,131597,86938,157330,59570,792403,0,1
20,0000000000,1778,1825,876,197198,462479,182499,384627,198606,454252,156773,362192,0,1
21,1111011000,1674,1828,1096,217132,582192,807461,493687,263144,605742,209405,467219,27,1
22,0000000000,990,1821,238,39551,94447,60635,95337,46156,98235,39442,111935,0,1
23,1111101000,1035,1831,622,141975,247672,117247,257043,189033,260459,114296,326467,28,1
24,0000000000,1642,1832,944,194927,426805,224508,432530,191439,439834,181173,432273,0,1
25,0101101000,1065,1831,645,162761,293091,129501,280596,186984,291981,125930,308860,0,1
26,1111011000,1006,1836,958,234397,388038,248938,386680,225112,416143,169930,711684,27,1
27,0000000000,955,1839,936,144267,350114,155233,349994,158571,344495,142732,397431,0,1
28,1121012012,1746,1844,1234,281578,533411,382170,519786,265267,622636,221833,495086,0,1
29,1111111100,1047,1853,625,142761,257468,124366,285313,137491,264524,111615,328077,17,1
30,1111111000,982,1857,691,164686,300253,212284,293317,171867,322311,126154,439898,5,1
31,0000000000,1704,1864,1410,274401,611210,479991,596912,286158,623511,257301,595736,0,1
32,0101011101,1825,1868,927,210363,490193,238727,382568,195845,425049,160472,370235,0,1
33,0000000000,1796,1872,894,210097,457596,367356,381606,191094,520865,156872,365224,0,1
34,0000000000,940,1874,808,120435,294638,132502,299411,133141,301994,121111,340142,0,1
35,0000000000,1018,1871,605,131907,304163,125737,259675,154222,320441,119644,1793209,0,1
