cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
1,0000000000,1227,334,853,361505,177237,262285,179004,733397,190369,283922,203005,0,1
2,0000000000,1295,335,463,150050,85254,118098,88355,300278,89102,123461,91226,0,1
3,0000000000,1196,340,771,462887,172268,286276,175783,753874,177417,305333,204267,0,1
4,0000000000,1333,344,524,159017,96464,123586,94942,224148,97431,125410,99888,0,1
5,0000000000,1407,351,648,172942,125708,167465,124983,254009,123309,167906,135904,0,1
6,0000000000,1251,354,848,507634,187531,311370,204103,2266716,216694,377226,208618,0,1
7,0000000000,1280,353,646,371840,146248,234989,150635,962870,154041,266260,160331,0,1
8,0000000000,1312,359,814,395600,184633,279879,183361,952211,192461,313844,191724,0,1
9,0000000000,1363,358,848,277324,167972,227193,170209,472008,168126,235476,171992,0,1
10,0000000000,1176,364,842,396453,198607,319960,187868,871664,203209,318398,262784,0,1
11,0000000000,1431,369,677,189106,134301,184808,135042,311706,137319,187969,171796,0,1
12,0000000000,1225,367,707,488662,163910,261422,164408,976327,186396,281233,184308,0,1
13,0000000000,1150,369,560,263934,123229,200426,125787,623934,129786,210143,406289,0,1
14,0000000000,1340,371,505,302975,132230,170765,120068,601681,135685,206436,123425,0,1
15,0000000000,1128,379,678,334309,148627,242257,141339,623141,148836,237000,203366,0,1
16,0000000000,1384,376,366,202064,93546,160720,92715,365322,102179,173677,96090,0,1
17,0000000000,1266,373,319,287823,73323,121625,79762,1034027,83600,156097,80122,0,1
18,0000000000,1292,380,692,374545,164287,277341,169510,1120597,179408,321236,179658,0,1
19,0000000000,1408,379,356,214570,95247,166908,96497,416107,99675,178477,107410,0,1
20,1001111111,1322,389,597,327700,131367,221338,135779,636322,147230,241352,142621,0,1
21,0000000000,1364,389,708,446899,178819,273753,166144,1491531,183900,339294,171529,0,1
22,0000000000,1248,390,552,313831,124477,215052,126281,1768000,167725,257045,140281,0,1
23,0000000000,1223,385,232,137821,53893,85869,52469,240467,59199,87831,60829,0,1
24,0000000000,1209,394,474,312197,112807,179218,109237,449018,114404,186814,134494,0,1
25,0000000000,1189,393,510,239637,113935,190295,118920,483704,124185,195968,162172,0,1
26,0000000000,1156,389,270,177189,65038,104596,63279,339847,64589,101183,94301,0,1
27,0000000000,1395,402,791,594303,187632,330896,193857,1025268,207859,379528,206355,0,1
28,0000000000,1267,402,515,339115,119228,206446,129579,1039910,147136,242524,136255,0,1
29,0000000000,1421,402,661,328140,152581,256890,157706,626841,164051,269047,197847,0,1
30,0000000000,1347,400,345,242086,83242,148330,87154,501227,93744,166135,90503,0,1
31,1100001000,1136,408,892,595157,204129,363931,200266,964591,211834,368749,241821,16,1
32,0000000000,1287,402,328,176545,74807,128658,74034,325742,94911,148242,83435,0,1
33,0000000000,1170,407,587,342909,136988,224537,137423,641126,146706,241773,168764,0,1
34,1111111111,1230,408,429,278220,100686,166217,97954,424452,104234,166302,112068,1,1
35,0000000000,1300,411,415,265500,102686,185332,106938,384704,128724,209080,109833,0,1
36,0000000000,1326,412,460,302597,110018,197450,115141,859079,127802,237544,118355,0,1
37,0000000000,1371,417,592,365839,148134,217534,137265,608085,149412,245302,140666,0,1
38,0000000000,1246,418,386,259760,92492,163125,95836,641767,130911,189415,102538,0,1
39,0000000000,1157,417,192,99912,42171,70829,44992,175128,45317,74130,52326,0,1
40,0000000000,1192,425,584,391139,147157,221841,129982,517343,141566,228565,163361,0,1
41,0000000000,1213,420,511,302372,118182,207628,116313,455839,125262,221697,154362,0,1
42,0000000000,1343,423,472,262055,119614,180822,113383,500772,126929,199660,117852,0,1
43,0000000000,1436,434,861,533884,213841,354670,222372,902573,228694,392494,295111,0,1
44,0000000000,1499,429,779,340604,181284,256949,173167,581323,172874,276324,224085,0,1
45,0000000000,1055,429,928,490011,225121,409203,228720,635223,244765,418965,249145,0,1
46,0000000000,1278,426,542,369831,125734,213498,131497,1318751,148964,256309,142429,0,1
47,0000000000,1413,428,433,341782,103844,178902,107026,421328,112250,204467,109402,0,1
48,0000000000,1470,429,761,351516,178598,290969,185202,657259,202239,309237,456289,0,1
49,0000000000,1111,432,710,361128,173725,357147,171201,549239,181268,323145,195311,0,1
50,0000000000,1310,431,493,273726,114339,191054,121984,544721,126379,213298,123709,0,1
51,0000000000,1393,438,765,491494,176936,290213,214041,765513,183586,404685,189456,0,1
52,0000000000,1153,433,483,308981,105333,177265,105023,561626,109418,177075,125259,0,1
53,0000000000,1362,442,784,321949,199261,287882,191317,589903,196459,318698,238683,0,1
54,0000000000,1173,434,245,127616,58149,86274,53485,266192,53610,88873,64330,0,1
