,cell_id,Barcode,ChAT,fru,Gad1,SerT,sNPF,tbh,Ple,VGlut,x,y,umap_1,umap_2,clust_label,clone_id
2,41,2010011221,32181,802,170048,4,287953,11384,0,149023,39.047,145.04,8.299558,-3.5774944,0,2
3,43,2010011221,64339,103,52446,32,142172,828,14159,21459,38.691,1102.3,2.056264,1.5038784,1,2
22,135,2200211200,101616,244,831,270,339706,670,56,490,283.84,1187.1,0.20432907,1.3977361,1,9
23,146,2010012221,29097,89,1995,110,286774,446,120,116781,308.82,1088.0,8.493216,-3.8964067,0,3
26,153,2200211200,12565,1,0,19,241207,3659,0,255,325.6,1291.8,3.1296413,0.93139964,2,9
27,166,2200211200,253143,4512,1362,401,487443,6838,49,1185,341.49,1197.2,-2.7915466,1.8469863,1,9
30,170,2010012221,37064,1253,17860,833,370170,14243,0,300207,350.19,1055.7,9.375024,-2.3630805,0,3
31,171,2010012221,73344,9970,2406,412,325832,506,14,475648,345.25,1072.7,9.879768,-1.7651843,0,3
35,186,2010012221,120077,33831,1441,240,364783,892,0,538291,364.08,1081.1,9.98002,-1.854784,0,3
36,187,2200211200,139070,11,37,179,676563,2616,45,554,360.19,1255.3,-1.0011613,0.5381877,1,9
46,208,2120212020,78289,0,179,38,233473,228,0,833,395.51,1287.2,1.4549818,1.5209156,1,15
47,209,2120212020,108363,1004,74,347,497948,1069,4738,1426,397.17,1207.3,0.050856527,0.9500432,1,15
48,213,2010011221,81124,1942,1180,192,257256,13937,0,445,408.23,1016.9,0.58561426,1.5118506,1,2
50,216,122011221,78462,131172,796,394,1926609,622,2435,1708,411.3,1376.1,-5.3202825,-1.7829113,3,20
51,219,2200211200,168052,473,98,185,2338546,1506,4296,2876,416.66,1321.2,-4.4535203,-1.6747965,3,9
55,225,2120212020,110623,161,313,285,410039,8673,213,6510,415.78,1346.7,-0.091275275,1.2571851,1,15
56,228,2120212020,230977,0,268,49,361828,2892,29182,1802,415.79,1219.8,-2.22504,2.0439575,1,15
60,239,2120212020,140466,10564,20,755,673717,5480,0,24269,440.59,1366.3,-1.088664,0.38737613,1,15
