,cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_id,clust_label,umap_1,umap_2
43,44,2010011221,1747,259,431,142808,0,0,0,224241,0,29095,4,18,0,3.4537413,7.551786
48,49,2010011221,1886,269,490,40032,22,38197,0,148689,0,0,1362,18,1,3.4202302,1.4944314
72,73,2010011221,1107,298,700,152236,0,0,0,107023,0,0,44550,18,0,3.8409824,5.4715166
75,76,2010011221,1693,297,404,3204,0,18828,0,114719,1505,3597,127141,18,2,6.998234,-1.9806134
76,77,2010011221,1920,296,404,46441,0,528,0,76100,0,0,0,18,3,3.910044,2.5245812
116,117,2010011221,1068,342,690,318147,22,0,0,213783,17,21,172172,18,0,3.1567175,7.813392
133,134,2010011221,1053,366,601,193265,0,368,1047,150243,0,111,74661,18,0,3.2810256,7.4536557
176,177,2010011221,722,404,432,105910,618,9342,0,364221,14442,0,0,18,0,2.8681965,5.706561
205,206,2010011221,1030,424,570,10946,201,140264,0,212323,8558,0,122832,18,2,6.6041203,-1.1850582
206,207,2010011221,1987,424,423,66449,1,14241,0,99864,62,33363,14359,18,3,3.8136716,2.942941
251,252,2010011221,607,454,624,245728,2109,89396,0,223186,76,0,50186,18,0,3.1805806,7.799079
276,277,2010011221,579,471,456,140594,0,0,0,103650,43,5,0,18,0,3.3448327,7.327348
304,305,2010011221,570,504,480,26245,21,31717,0,127710,2396,0,42568,18,1,4.7802205,-0.043665726
411,412,121001000,2050,670,672,168836,18,0,0,551635,398,0,30,6,0,3.1951182,6.3070464
413,414,2200211200,2071,669,438,102778,126,0,46,265430,87,0,92,25,0,3.4203908,6.022419
427,428,2010012221,1972,694,312,20238,0,92,0,225325,27,8,108116,19,2,7.2190137,-1.823413
436,437,2200211200,2176,710,1004,8129,0,0,0,97642,2109,0,0,25,1,3.8103542,-0.07244008
454,455,2200211200,2082,726,556,192787,2580,0,0,356910,2086,0,7,25,0,3.2179277,7.676966
458,459,1111112111,297,732,407,29053,0,508,141,62685,9913,207,1687,13,1,2.9198942,1.706752
459,460,2010012221,1940,735,525,15605,215,30804,0,265079,8577,0,268482,19,2,7.8410654,-2.9550188
460,461,2010012221,1957,730,322,43427,5971,8,0,236397,0,0,400750,19,2,8.610975,-3.6220262
461,462,2200211200,2158,731,379,60031,29,0,0,810726,1186,1125,0,25,4,-3.073403,2.656606
488,489,2200211200,2156,762,750,65889,9,0,204,599620,99,0,12,25,0,1.520143,2.2255383
497,498,2010012221,1972,774,519,36328,4,40,0,343138,0,0,230934,19,2,7.577222,-2.3954153
502,503,121001000,2041,783,814,166354,18,42,0,510031,186,129,51836,6,0,3.3138943,4.8318653
505,506,2120212020,2172,780,326,80340,0,0,0,171835,0,0,11,24,0,3.4584086,6.1111217
506,507,2120212020,2092,782,460,93522,65,0,0,410207,96,4073,91,24,0,2.971307,4.511119
513,514,2010011221,1901,793,408,59429,306,0,0,173395,4636,0,0,18,0,3.1232388,3.7295117
517,518,2120212020,2156,795,539,154637,864,0,0,305090,0,0,0,24,0,3.472777,6.906755
518,519,122011221,2260,796,849,58049,110634,82,0,1833185,26,1150,31,7,4,-7.7030163,2.2191632
522,523,2200211200,2206,801,589,121458,57,0,0,2327696,110,2443,34,25,4,-8.287941,2.1965427
529,530,2120212020,2231,800,532,83015,6,0,0,281276,5943,0,385,24,0,3.0480464,3.945323
535,536,2120212020,2104,801,479,182535,0,0,0,262313,165,38641,80,24,0,3.1291742,7.8475676
548,549,2010011221,432,817,295,9553,0,67,0,20230,0,0,468,18,1,3.8605874,0.041295625
554,555,2120212020,2251,825,722,86606,3118,0,0,500549,3156,0,6998,24,0,1.750088,2.515325
557,558,122011221,2299,822,506,26646,5410,0,0,206052,0,0,26,7,1,2.1786382,0.86108464
571,572,2200211200,2210,835,668,75679,75,0,0,3624087,0,6582,1344,25,4,-8.144204,2.0623825
572,573,2200211200,2066,833,453,211799,4,0,0,220301,81,5,52,25,0,3.0458293,8.054663
573,574,2120212020,2144,832,487,22103,4361,0,0,304029,994,0,0,24,1,1.3693789,0.89286095
579,580,2010012221,1981,842,525,20739,0,3219,0,359705,143,0,248821,19,2,7.6108904,-2.5463455
582,583,122011221,2279,839,567,108479,353,0,0,383395,1,0,0,7,0,3.1780338,4.5140047
593,594,2120212020,2244,847,487,78149,0,0,0,287724,353,0,125,24,0,3.2929811,4.297571
594,595,122011221,2308,848,605,18622,5678,0,34,458465,126,0,30,7,4,-0.11422988,1.0009184
604,605,122011221,2334,848,411,3651,468,0,0,137251,0,0,0,7,1,2.879791,0.099867284
618,619,2200211200,2079,864,1180,89967,12440,419,23336,371458,14643,24608,1627,25,1,2.5021966,2.0630567
621,622,122011221,2263,864,557,74992,141,0,0,255957,3673,0,90,7,0,3.0608714,3.3527575
626,627,122011221,2355,862,594,24685,4556,3,0,337027,0,0,0,7,1,1.6091793,0.84959537
639,640,122011221,2331,868,361,50084,14256,0,0,356632,0,0,4,7,4,-2.4395177,2.6350963
655,656,122011221,2316,881,628,92299,18423,0,0,992730,72,671,19,7,4,-3.0212295,2.6395361
656,657,122011221,2382,878,500,63843,83159,0,0,915632,62,518,18,7,4,-8.322688,2.2071989
670,671,1111112111,701,887,464,13416,1082,438627,0,128946,2516,0,0,13,5,4.3626204,-1.6890004
672,673,122011221,2355,886,673,26712,3511,0,0,1005699,581,147,0,7,4,-2.5626194,1.4921832
685,686,2120212020,2183,901,534,32737,0,0,0,329004,47,0,191721,24,2,7.314532,-1.9782064
691,692,122011221,2285,901,531,76502,27754,0,0,480118,8266,66,11758,7,4,-2.7333815,2.713844
693,694,2010011221,258,897,398,73,15,188014,0,23569,0,2094,0,18,5,4.2313447,-1.3352686
696,697,122011221,2400,899,489,22062,40868,248,0,1019656,10,1393,287,7,4,-6.957953,2.1170127
701,702,122011221,2336,903,566,46610,4654,0,0,728231,0,0,395,7,4,-1.7652999,1.9303007
704,705,122011221,2378,901,390,12335,12325,0,0,368501,0,59,0,7,4,-2.0103045,1.4187206
715,716,122011221,2310,906,569,23464,784,0,0,560750,10072,0,58157,7,4,-0.5093976,0.17956528
728,729,122011221,2352,915,383,14296,75,0,0,463888,0,0,148,7,4,-1.2173382,1.218264
744,745,122011221,2381,927,580,15837,5526,0,0,758811,105,0,0,7,4,-2.3164515,1.4339802
750,751,122011221,2361,927,309,3236,3610,0,0,449761,92,0,0,7,4,-2.8166192,1.5147461
758,759,122011221,2321,929,538,22289,2,8,0,534497,2,0,59325,7,4,-0.53284585,0.18157941
762,763,2120212020,2208,930,336,67309,7,0,0,220114,10885,0,118670,24,2,7.082666,-1.2130775
765,766,122011221,2406,936,682,36642,48369,0,0,981264,0,271,518,7,4,-4.983276,2.1779265
774,775,122011221,2436,940,652,14647,31569,0,0,648906,0,83,187,7,4,-2.929436,1.6069055
778,779,122011221,2336,943,579,25665,0,0,0,749505,0,0,3376,7,4,-1.4736931,1.2583793
793,794,122212201,1971,949,819,3018,53,2654029,7,482315,203,600,66272,9,6,5.4495873,-4.2903385
802,803,122011221,2365,949,432,6585,0,0,0,506484,0,312,0,7,4,-1.0547867,0.80710983
809,810,121001000,2001,956,753,89932,12,182495,0,524997,67,620,334627,6,2,7.4613495,-2.1442375
810,811,122011221,2289,950,663,26939,2464,0,0,653432,7061,0,49030,7,4,-0.5164288,0.22185323
812,813,122011221,2388,952,447,20853,6751,0,0,605046,56,0,0,7,4,-2.387603,1.5958596
820,821,2120212020,2216,959,690,28028,3786,0,0,365607,0,0,180502,24,2,6.490527,-1.1238338
821,822,122011221,2346,959,287,3887,0,0,0,315236,0,0,79,7,4,-0.9499507,0.8378857
827,828,122011221,2313,961,599,31936,8,0,0,544046,21,23,6509,7,4,-0.06783377,1.1700758
837,838,122011221,2422,961,429,30422,2648,0,0,253922,4,0,0,7,1,1.9430337,1.1501161
846,847,122212201,1944,966,469,2393,12043,1818461,0,223536,20,467,18,9,6,5.8602676,-4.9992065
858,859,122011221,2279,971,561,66480,9118,0,0,670162,27,0,5051,7,4,-1.8755453,2.245513
859,860,122011221,2356,973,420,10685,1,0,0,529168,0,8430,252,7,4,-1.3240832,1.028447
860,861,122011221,2397,972,567,27335,32,0,0,562645,0,0,0,7,4,-0.4088079,1.2601235
863,864,122011221,2374,974,332,8825,6,0,0,328269,0,3052,0,7,4,-0.38234878,0.7641519
886,887,122212201,1924,983,526,1793,755,1755468,0,221542,0,258,0,9,6,5.6560717,-4.615234
896,897,122011221,2260,987,608,10557,3134,0,0,682839,78,0,30982,7,4,-0.7565086,0.44324127
897,898,122011221,2325,988,697,13493,295,0,0,653713,0,24,26488,7,4,-0.24101934,0.41407573
902,903,122011221,2300,984,579,53964,3666,0,0,628574,0,0,742,7,7,-0.7700958,1.9652429
903,904,122011221,2422,983,517,42874,14312,0,0,324552,0,0,0,7,7,-0.41289043,1.9528873
919,920,122011221,2348,995,482,8277,24,0,0,445578,0,6152,14030,7,4,-0.10054167,0.46696028
920,921,122011221,2383,991,247,2574,33,0,0,347445,148,1210,0,7,4,-2.5244143,1.3582116
933,934,122011221,2399,995,245,1470,109,0,1122,354595,0,0,0,7,4,-2.6556134,1.3768823
938,939,122011221,2366,999,253,1765,23,0,0,232209,0,50137,21,7,4,0.063811176,0.44829985
945,946,122011221,2434,1001,431,36388,6304,0,0,405854,0,0,938,7,7,-0.69768983,1.8778107
949,950,122011221,2279,1005,589,36983,7,0,30,780408,18,0,8028,7,4,-1.6206176,1.5579089
954,955,122011221,2460,1005,526,18354,3617,0,23,471292,122,0,146189,7,2,6.3856134,-1.0357487
959,960,122212201,1961,1005,565,453,711,2227807,0,318181,29,207,80,9,6,5.836311,-5.0729356
966,967,122011221,2415,1003,293,9558,201,0,2051,321834,0,0,0,7,4,-0.85642385,1.1993052
970,971,122011221,2247,1011,558,13031,145,0,0,591431,14,0,23139,7,4,-0.48109668,0.42006576
979,980,122011221,2304,1008,462,7189,0,0,0,478695,0,77,15282,7,4,-0.4461523,0.4445247
987,988,122011221,2381,1011,387,13359,1459,0,0,552757,0,1225,2,7,4,-2.431979,1.4293567
993,994,122011221,2334,1016,516,22776,6804,0,0,562536,0,0,2608,7,4,-1.4848071,1.3748722
1003,1004,122011221,2358,1018,302,4271,1959,0,0,255079,0,5742,8,7,4,-0.18100461,0.54367495
1004,1005,122011221,2402,1020,500,34541,60,0,0,486212,5,0,0,7,7,-0.37701377,1.6500823
1012,1013,2010011221,972,1026,529,154044,0,0,0,51857,0,0,6,18,0,3.4568813,7.186436
1027,1028,122011221,2264,1027,469,40936,181,0,0,602110,0,0,460,7,4,-1.4701467,1.9408495
1031,1032,122011221,2296,1031,853,30357,3518,0,0,923271,3,38,487,7,4,-1.036258,1.148978
1038,1039,122212201,1959,1035,700,3390,2849,2727296,0,411040,63,2427,126,9,6,5.8792334,-5.04203
1044,1045,122011221,2428,1035,494,52044,34804,0,0,461858,0,0,12174,7,4,-3.1239607,2.4005454
1048,1049,122212201,1920,1036,570,491,3832,1979797,0,247994,0,92,0,9,6,5.7088943,-4.686177
1050,1051,122011221,2377,1034,482,18018,40,0,0,697183,1,0,0,7,4,-2.2960694,1.4404156
1054,1055,122011221,2337,1038,552,12958,3447,0,0,628824,0,0,4411,7,4,-1.2190038,1.0334325
1057,1058,122011221,2240,1039,507,11326,193,0,0,364843,5,0,11831,7,4,0.095869645,0.725465
1060,1061,122212201,1887,1042,609,1886,101,2424842,0,388556,3984,733,3,9,6,5.799233,-5.0667167
1069,1070,122011221,2398,1039,244,16469,2957,0,0,188769,0,0,0,7,7,-0.36614203,1.7105745
1079,1080,122011221,2502,1044,294,6433,7999,0,0,486032,6,226,55516,7,4,-3.113031,1.5782951
1081,1082,122011221,2442,1053,770,82076,8038,0,0,421366,0,0,6883,7,0,1.889264,2.4432476
1086,1087,122011221,2272,1049,613,22266,519,0,0,659367,0,0,884,7,4,-0.8090361,1.1714104
1091,1092,122011221,2414,1053,559,33744,21896,0,0,528116,3,137,0,7,4,-1.8956127,1.7872347
1104,1105,122011221,2387,1057,512,34001,178,0,0,310820,72,3154,37,7,1,2.0097528,1.0256757
1109,1110,122212201,1973,1055,284,428,394,760331,0,166221,0,0,4181,9,6,5.2488008,-4.126336
1117,1118,122011221,2249,1063,572,43231,12134,0,0,565990,0,8215,26570,7,4,-1.3856002,1.6754918
1119,1120,122011221,2308,1062,694,26704,3,0,0,586977,0,0,14781,7,4,-0.1267422,0.9464232
1127,1128,122212201,1863,1060,354,1014,0,1916033,0,247160,0,10,0,9,6,5.610875,-5.2318563
1131,1132,122212201,1915,1066,1135,525,4530,3569828,0,631816,20,94,0,9,6,5.5460844,-4.436727
1135,1136,122011221,2339,1064,776,31354,0,0,0,727480,0,0,14715,7,4,-0.24148805,0.914886
