"cell_id","barcode","ypos","xpos","cell_size","ChAT","Fru","Gad1","SerT","sNPF","Tbh","TH","VGlut","clone_id","rowsum"
1,0,1497,138,479,15753,0,0,2927,3735,0,0,1276,0,1
2,0,1475,146,555,16073,1943,0,0,96191,0,73,614103,0,1
3,0,1541,154,317,0,0,0,0,0,0,0,24,0,1
4,0,1411,158,524,90335,0,0,0,111142,0,254,83263,0,1
5,0,1452,161,245,51515,0,0,0,61255,0,0,69423,0,1
6,0,1513,166,526,514,3815,0,0,20476,0,0,318217,0,1
7,0,1468,166,390,104003,9,0,0,102749,0,0,67832,0,1
8,1110111010,1493,170,458,142810,0,0,0,139602,0,0,172439,0,1
9,0,1441,177,567,49180,0,0,0,164353,0,10,327978,0,1
10,0,1533,175,338,0,0,0,0,0,0,0,4219,0,1
11,0,1423,172,109,1497,0,0,0,56743,0,0,92803,0,1
12,0,1427,166,1,207,0,0,0,888,0,0,2871,0,1
13,1110111000,1332,180,592,194706,0,0,0,235057,0,0,147378,0,1
14,0,1385,181,410,2801,846,0,0,61620,0,0,338362,0,1
15,0,1408,179,364,19376,300,0,0,39285,0,0,200145,0,1
16,0,1363,185,491,42035,0,0,0,99615,0,0,68239,0,1
17,0,1476,186,563,122431,1,0,0,112988,0,0,277,0,1
18,1110111011,1429,195,508,33387,89,0,0,31062,0,0,44776,0,1
19,0,1549,197,744,0,0,0,0,22004,0,0,0,0,1
20,0,1322,192,171,21541,0,0,0,94051,0,0,276753,0,1
21,0,1401,198,479,23239,0,0,0,18269,0,0,24366,0,1
22,0,1275,203,718,28958,20,0,20,276903,22,76,853455,0,1
23,0,1308,206,616,71136,0,0,0,218147,7,0,1095416,0,1
24,0,1375,204,345,112,27,0,0,961,0,0,50915,0,1
25,0,1334,208,548,208622,0,0,2121,102650,0,0,328864,0,1
26,0,1355,211,402,29485,1330,0,0,12491,0,0,14405,0,1
27,0,1486,213,768,0,26,0,0,23181,0,0,0,0,1
28,0,1527,221,709,14,1314,0,0,5917,0,0,0,0,1
29,1110111011,1259,226,638,277218,0,0,0,236816,0,0,305592,0,1
30,0,1294,220,213,15578,28,0,0,33169,0,0,60432,0,1
31,0,1280,227,330,39428,3,0,0,100103,14,0,90365,0,1
32,0,1313,232,480,51003,66,0,0,2428,0,20,28087,0,1
33,1110111010,1226,236,537,141792,5,0,37,163476,0,0,38065,0,1
34,0,1201,239,280,86311,1525,0,5318,36655,0,0,317,0,1
35,0,1171,248,547,11204,1699,0,0,5329,0,0,1057,0,1
36,0,1248,244,184,35400,0,0,0,45482,0,6,45778,0,1
37,0,1271,250,465,39596,4191,0,526,20589,0,0,28016,0,1
38,0,1780,250,363,14054,0,105,0,52811,0,0,0,0,1
39,0,1820,253,428,20494,0,0,0,60072,0,208,8716,0,1
40,1110111000,1191,260,627,375310,190,0,1084,211452,0,0,50380,0,1
41,0,1216,259,479,58383,233,0,0,143874,0,159,156024,0,1
42,0,1235,253,203,28043,18,0,0,70214,0,0,250974,0,1
43,0,1839,256,343,1316,0,0,0,96691,11642,0,116157,0,1
44,2010011221,1747,259,431,142808,0,0,0,224241,0,29095,4,18,1
45,0,1860,256,294,10578,18,0,0,36572,0,0,7173,0,1
46,0,1803,261,361,21129,6,0,0,110525,1516,0,499,0,1
47,0,1763,261,226,34979,9,0,0,306997,0,66314,97,0,1
48,0,1253,265,464,44784,647,0,75,28829,0,0,156415,0,1
49,2010011221,1886,269,490,40032,22,38197,0,148689,0,0,1362,18,1
50,0,1781,268,235,78576,0,516,0,132836,0,27075,0,0,1
51,0,1844,273,360,4282,0,0,0,51503,0,0,119898,0,1
52,2010011220,1727,273,334,17753,0,24978,0,69286,5,180,2765,0,1
53,0,1865,277,431,982,0,1106,0,64268,1253,0,117197,0,1
54,1110101010,1147,274,272,39044,0,0,0,35653,0,0,30927,0,1
55,0,1233,280,509,4050,82,0,371,18690,0,0,144916,0,1
56,0,1795,276,269,21539,550,0,0,98139,0,2331,0,0,1
57,0,1700,278,441,345,0,576462,0,289007,7304,895,98,0,1
58,0,1765,277,227,12417,0,0,0,198981,0,48534,733,0,1
59,0,1822,281,493,16047,100,0,0,241608,0,17698,59059,0,1
60,0,1903,279,159,6391,0,308,0,46118,0,0,0,0,1
