cell_id,Barcode,ChAT,fru,Gad1,SerT,sNPF,tbh,Ple,VGlut
1,1111111000,185925,4395,4824,3778,510579,10759,4800,504457
39,2111011221,22610,3,301354,28,91466,246,27,59
41,2010011221,32181,802,170048,4,287953,11384,0,149023
43,2010011221,64339,103,52446,32,142172,828,14159,21459
52,1111111001,25028,0,0,0,63079,0,0,54261
76,2111011221,67468,1094,729,3,120936,3520,12465,73624
81,1111111101,880,578,14632,46,153874,76,0,30
85,0112011211,66147,1696,24213,670,251580,5777,939,73456
86,1110111011,92112,198,111019,37,243943,8589,104,33283
89,2112011122,80384,361,6951,99,278841,537,0,88506
99,0112011211,53752,57,6026,17,136651,7291,8,2752
102,1110111011,86956,22543,51510,122,283445,2477,0,4534
105,1110111011,66,0,7381,34,40520,153,0,556
112,2110111221,113074,1242,27370,49,361518,14649,12978,66925
116,0212001000,172210,22,3221,324,600922,6170,20,2321
117,0102001010,5458,0,0,13,148287,344,0,31
122,0000211101,61241,53,27930,92,168881,30,0,466
125,0021001000,98898,93,245,300,550846,1072,0,292
128,0212001000,94776,193,197,215,487270,1604,0,1861
129,1110111011,60618,4533,115272,77,221932,353,22,15874
130,2010112221,98740,34981,2292,149,301258,370,53,516785
134,0121001000,231296,153,194,491,713270,2695,114,931
135,2200211200,101616,244,831,270,339706,670,56,490
146,2010012221,29097,89,1995,110,286774,446,120,116781
148,2010112221,70978,157,1400,248,429775,665,0,221305
149,0212001000,155883,168,1446,273,463147,783,234,6098
153,2200211200,12565,1,0,19,241207,3659,0,255
166,2200211200,253143,4512,1362,401,487443,6838,49,1185
167,2000211200,64287,2823,93,141,211884,577,57,561
168,2012012201,116908,547,502,222,495080,5438,0,332368
170,2010012221,37064,1253,17860,833,370170,14243,0,300207
171,2010012221,73344,9970,2406,412,325832,506,14,475648
175,2200212200,146019,53,184,290,391497,1137,0,921
176,2010111001,49523,128,1916,167,307555,951,95,261068
177,1121111000,212223,59,210,279,1054941,10407,0,167040
186,2010012221,120077,33831,1441,240,364783,892,0,538291
187,2200211200,139070,11,37,179,676563,2616,45,554
192,2220212220,116508,20,288,211,419267,536,118,874
194,2200211200,97829,203,1055,2222,782349,2167,7,3116
196,2220211220,179345,58,410,105,437461,660,0,2213
200,0100211101,111986,2990,134249,1617,393145,63332,764,2184
201,2010112221,51397,884,1778,40,460311,681,70,284540
202,0101111101,230,66,386998,250,40914,465,0,74
204,1111001000,41684,92,133,142,425866,1066,0,430761
205,0121001000,242158,587,1112,312,710110,3668,446,95281
207,2120212220,129566,605,94,270,506325,1305,0,440
208,2120212020,78289,0,179,38,233473,228,0,833
209,2120212020,108363,1004,74,347,497948,1069,4738,1426
213,2010011221,81124,1942,1180,192,257256,13937,0,445
215,2120212020,187525,1712,17,132,406321,870,0,822
216,0122011221,78462,131172,796,394,1926609,622,2435,1708
219,2200211200,168052,473,98,185,2338546,1506,4296,2876
220,2120212010,60554,206,25,69,400405,451,21,542
221,1111001000,180620,90,139131,294,456140,1327,0,1189
