cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
1,0000000000,2411,694,419,0,0,0,0,223,0,0,0,0,1
2,0000000000,2374,707,696,0,21,0,0,2929,0,0,57,0,1
3,0000000000,2464,708,539,0,0,0,0,0,0,0,11438,0,1
4,0000000000,2310,730,423,0,1449,0,0,0,0,0,0,0,1
5,0000000000,2460,738,618,61010,0,0,0,53078,0,0,261874,0,1
6,0000000000,2484,737,507,7944,0,0,0,1273,0,0,6807,0,1
7,0000000000,2418,741,545,0,526,0,0,5619,0,0,487,0,1
8,0000000000,2384,743,540,1241,48,0,0,1117,29,0,32,0,1
9,0000000000,2329,743,446,0,0,0,0,2109,0,0,0,0,1
10,0000000000,2521,759,489,0,0,0,0,1490,0,0,0,0,1
11,2000012221,2400,760,390,100254,0,0,0,15538,0,0,0,9,1
12,0000000000,2311,758,309,44721,0,0,0,22414,0,0,0,0,1
13,0000000000,2345,761,488,0,0,0,1230,5080,0,0,74,0,1
14,2000012221,2274,770,586,71843,3289,0,0,22647,0,2909,52439,9,1
15,0000000000,2417,766,220,41696,0,0,0,37813,0,0,61655,0,1
16,0000000000,2243,771,449,177,0,0,0,0,0,0,52790,0,1
17,0000000000,2459,771,541,0,0,0,0,334,0,0,0,0,1
18,0000000000,2530,778,352,0,0,0,0,3528,0,0,0,0,1
19,0000000000,1662,775,302,699,0,0,0,5745,0,0,19968,0,1
20,0000000000,2333,777,329,6061,0,0,380,44456,0,0,312079,0,1
21,0000000000,2191,778,240,0,0,0,0,0,0,0,0,0,0
22,0001012201,2314,777,352,53913,8,0,0,20701,0,0,140931,2,1
23,0000000000,2204,783,291,974,0,0,0,0,0,0,0,0,1
24,0000000000,2401,783,500,192282,0,0,0,57654,365,0,32522,0,1
25,0000000000,2178,782,252,0,0,0,0,0,0,0,0,0,0
26,0000000000,2220,783,327,0,0,0,0,0,0,0,783,0,1
27,0001012201,2367,784,525,30838,0,0,0,40070,0,0,47840,2,1
28,0000000000,2543,784,229,0,0,0,0,0,0,0,0,0,0
29,0000000000,1874,788,538,10011,0,0,0,0,0,0,9532,0,1
30,0000000000,2106,786,492,0,0,0,0,0,0,0,80,0,1
31,0000000000,2133,785,433,0,0,0,0,0,0,0,0,0,0
32,0000000000,1831,783,310,30,0,0,0,0,13,0,0,0,1
33,0000000000,2071,788,457,0,0,0,0,0,0,0,0,0,0
34,0000000000,2289,789,504,47812,0,0,0,50300,0,0,445411,0,1
35,0000000000,2417,793,372,14099,0,0,0,9039,0,0,75105,0,1
36,0000000000,1923,786,235,0,0,0,0,0,0,0,0,0,0
37,0000000000,1719,790,602,7654,294,0,0,7230,0,0,24646,0,1
38,0000000000,1894,789,305,2390,0,0,0,1514,0,0,44616,0,1
39,0000000000,1987,793,662,0,0,0,0,30,31,0,1528,0,1
40,0000000000,1686,793,579,5408,180,0,0,9184,0,0,20399,0,1
41,0000000000,2308,791,216,86518,38,0,0,9800,0,0,112056,0,1
42,0000000000,2152,801,732,0,0,0,0,0,0,0,0,0,0
43,0000000000,2383,794,226,51186,0,0,0,17837,98,0,153395,0,1
44,0000000000,1911,804,644,1479,1934,0,2,3277,9,0,3506,0,1
45,0000000000,1633,796,299,80032,0,0,0,41843,0,0,2550,0,1
46,0000000000,2340,800,570,15662,4,0,29,4229,26,0,42429,0,1
47,0000000000,1663,803,522,56952,0,0,0,98049,6,0,154820,0,1
48,2000012221,1844,801,633,22992,0,0,0,36855,0,0,305683,9,1
49,0000000000,2255,804,645,0,17,0,0,8128,0,69,131,0,1
50,0000000000,1586,803,369,45383,0,0,0,61051,0,5,0,0,1
51,0000000000,2010,801,276,0,0,0,0,0,0,0,6023,0,1
52,0000000000,2084,804,561,0,0,0,0,0,0,0,0,0,0
53,2000012221,1792,806,447,4422,0,0,0,23578,0,0,12468,9,1
54,0000000000,1815,811,572,31263,0,0,0,87849,41,149,437520,0,1
55,0000000000,1707,806,342,0,0,0,0,7190,0,0,42312,0,1
56,0000000000,2526,811,500,0,0,0,0,495,0,0,0,0,1
57,0000000000,1953,815,843,0,5,0,0,901,0,0,774,0,1
58,0000000000,2198,810,330,90,0,0,0,2,30,0,602,0,1
59,0000000000,1619,820,637,8939,400,0,0,41387,46,0,246731,0,1
60,0000000000,1638,812,454,60967,64,0,0,43947,0,0,8084,0,1
61,0000000000,1739,810,216,21040,0,0,0,30444,0,0,244170,0,1
62,0000000000,2365,812,297,0,633,0,0,175,0,0,4252,0,1
63,0000000000,2018,818,428,0,1,0,0,174,0,0,646,0,1
64,0000000000,1726,822,479,72,29,0,0,523,42,0,49593,0,1
65,0000000000,1757,822,605,28776,1443,0,1,14954,137,0,75774,0,1
66,0000000000,1677,819,214,74,3855,0,0,1932,32,66,18252,0,1
67,0000011201,1594,822,316,3651,17,0,0,15238,26,162,145306,0,1
68,0000000000,2489,828,485,0,213,0,0,0,0,0,0,0,1
69,0000000000,1851,826,526,281,13,0,0,66,0,0,6549,0,1
70,0000000000,1659,828,566,64612,45,0,0,12229,102,0,29453,0,1
71,0000000000,1554,840,605,45361,0,0,0,19468,5,0,0,0,1
72,0000000000,1873,842,767,13,9,0,36,5660,48,0,943,0,1
73,0000000000,1684,845,851,0,174,0,28,1411,83,3,1003,0,1
74,0000000000,1524,843,416,54109,0,0,0,59797,0,0,43173,0,1
75,0000000000,1807,848,682,26777,0,0,0,10921,0,0,253,0,1
76,0000000000,2040,848,670,0,13,0,0,0,0,0,267,0,1
77,0000000000,1591,862,936,0,910,0,0,1614,0,0,239,0,1
78,0000000000,1787,863,502,0,0,0,0,0,0,0,0,0,0
79,0000000000,1507,865,436,80,183,0,0,91841,0,0,259343,0,1
80,0000000000,1484,867,438,72,4201,0,180,12371,0,0,20789,0,1
81,0000000000,1729,874,801,6,10,0,14,3263,0,5,1107,0,1
82,0000000000,1530,880,946,204,17,0,0,32679,14,52,2613,0,1
83,0000000000,2485,884,437,0,0,0,0,0,0,0,0,0,0
84,0000000000,1458,882,359,54498,0,0,0,94410,0,0,33132,0,1
85,0000000000,1491,887,384,18361,221,0,0,31423,3,0,97697,0,1
86,0000000000,1695,891,992,0,80,0,0,14538,4,0,592,0,1
87,0000000000,1792,889,730,0,0,0,0,6824,0,0,0,0,1
88,0000000000,1463,892,133,38312,0,0,0,21893,0,0,44265,0,1
89,0000000000,1855,901,431,0,85,0,40,0,74,0,69,0,1
90,0000000000,2529,905,687,36094,0,553171,0,260764,17409,1658,1175,0,1
91,0000000000,1449,905,403,43938,0,0,0,47357,0,0,287473,0,1
92,0000000000,1503,918,1025,10954,3762,0,0,9182,0,27,2061,0,1
93,0000000000,2553,910,361,1018,0,52732,0,115165,0,4181,736,0,1
94,0000000000,2319,917,727,0,4,0,0,32,0,0,110,0,1
95,0000000000,2577,912,422,4651,0,75218,0,17350,2564,0,56076,0,1
96,0000000000,2505,916,342,36139,4847,70,0,52201,4254,0,45690,0,1
97,0000000000,1403,921,645,37,0,0,7564,17051,0,55,1010,0,1
98,0000000000,1466,920,618,55802,0,0,0,14385,0,0,23721,0,1
99,0001012201,2483,919,478,1696,0,0,0,157080,0,0,114522,2,1
100,0000000000,2463,921,211,880,0,4658,0,75407,0,0,29416,0,1
101,0000000000,2603,925,436,73902,0,49012,0,161131,333,0,12,0,1
102,2110211111,2450,931,440,8011,0,12527,0,22405,13,0,12813,24,1
103,0000000000,2524,928,386,1224,0,10900,0,41589,0,0,17662,0,1
104,0000000000,2563,929,296,15932,0,6241,0,120777,3283,0,0,0,1
105,0000000000,1420,934,483,2322,3056,0,2024,11678,5,0,19746,0,1
106,0000000000,2543,930,290,9684,0,21398,0,53797,0,87,0,0,1
107,0000000000,2584,930,278,18360,0,37641,0,28077,0,0,1553,0,1
108,0000000000,2503,932,125,0,0,0,0,62283,289,0,3693,0,1
109,0000000000,2623,933,174,1766,0,8399,0,51099,0,0,1778,0,1
110,0000000000,2468,935,116,0,0,18374,0,0,0,0,348,0,1
111,0000000000,2491,945,326,479,0,0,0,42510,0,0,5377,0,1
112,0000000000,2642,939,297,9,0,0,0,10380,0,0,0,0,1
113,0000000000,2479,942,181,5794,275,2847,0,11099,0,0,0,0,1
114,0000000000,2511,945,409,0,0,0,0,51615,0,0,64634,0,1
115,0000000000,2204,955,914,0,0,0,0,380,0,0,31,0,1
116,0000000000,2578,947,415,17641,0,13513,0,82021,85,0,16202,0,1
117,1111111000,1385,949,497,158604,58,0,0,112224,9,51,115684,5,1
118,0000000000,2662,945,301,0,0,0,0,2314,5,0,0,0,1
119,0000000000,2136,953,805,0,0,0,0,9719,0,0,284,0,1
120,0000000000,2543,945,278,142,256,4837,0,25583,0,0,41407,0,1
121,0000000000,2620,943,170,16508,0,24764,0,30976,2877,0,395,0,1
122,0000000000,2559,946,140,4340,0,0,0,54438,0,0,24510,0,1
123,0000000000,2601,950,464,34250,506,87775,0,119012,0,0,153453,0,1
124,0000000000,2468,948,184,1146,296,5530,0,7243,0,0,0,0,1
125,0000000000,1331,952,412,297,0,25,330,6767,9,8,18722,0,1
126,0000000000,1401,957,409,43436,1753,0,0,54658,0,0,252938,0,1
127,0000000000,2527,955,254,614,4254,0,0,15109,0,0,15237,0,1
128,0000000000,1421,957,426,11922,122,0,35,39776,0,65,2028,0,1
129,0001012201,2449,959,441,16772,5065,1886,0,18920,130,0,0,2,1
130,0000000000,2624,953,123,14659,0,91882,0,55595,2163,88,1953,0,1
131,0000000000,2461,962,160,10948,0,0,0,8243,0,0,0,0,1
132,0000000000,2656,961,395,66016,9,0,0,74821,546,0,0,0,1
133,0000000000,2562,962,339,6369,1938,0,0,71244,0,0,147643,0,1
134,0000000000,2543,963,313,1209,0,0,0,13001,0,0,74583,0,1
135,0000000000,1301,965,501,250698,0,116,0,184794,10,142,310896,0,1
136,0000000000,2504,964,380,931,0,0,0,27943,0,0,127255,0,1
137,0000000000,2629,963,295,6977,3383,208915,0,236402,660,0,11239,0,1
138,0000000000,2472,965,177,3287,0,0,0,7213,0,0,4438,0,1
139,0000000000,2486,964,83,0,27,0,0,1353,0,0,806,0,1
140,0000000000,2584,972,484,37439,0,34362,0,112048,0,0,31865,0,1
141,0000000000,2616,958,1,0,0,1062,0,206,0,0,0,0,1
142,0001012201,2604,974,382,13678,0,10204,0,75189,0,0,41249,2,1
143,0000000000,1384,975,536,99596,44,0,0,29827,0,190,117447,0,1
144,0000000000,2721,974,433,0,0,0,0,40318,0,0,1566,0,1
145,0000000000,1315,979,636,11954,50,0,0,153292,0,163,689608,0,1
146,0000000000,1433,977,615,7187,0,0,0,1242,0,29,198,0,1
147,0001012201,2677,974,380,15045,10,0,0,76117,2811,0,1717,2,1
148,0000000000,2520,979,498,3281,4510,0,0,39497,0,0,12957,0,1
149,0000000000,2649,980,581,41030,3,440,0,120111,1122,0,6117,0,1
150,0000000000,1345,975,259,34958,0,0,0,36535,0,18,32001,0,1
151,0000000000,2480,975,187,6536,22,0,0,1173,18,0,61964,0,1
152,0000000000,1995,979,449,0,4,0,0,151524,0,0,26138,0,1
153,1111011100,2625,981,419,14186,2582,1082,0,78153,4043,0,80694,0,1
154,0000000000,2543,982,450,3296,0,0,0,36724,0,0,25941,0,1
155,0000000000,2565,983,388,13931,1176,279,0,37497,0,0,39029,0,1
156,0000000000,2493,986,472,8922,0,0,0,19689,0,0,20842,0,1
157,0000000000,2396,989,639,99098,2259,0,0,181518,2869,0,61486,0,1
158,0000000000,2452,984,411,25483,0,0,0,10691,0,0,13914,0,1
159,0000000000,1244,989,883,5809,10878,0,1847,36001,31,0,22406,0,1
160,0000000000,1281,988,618,52783,11055,0,0,127501,0,70,81429,0,1
161,0000000000,2087,993,547,31,3697,0,0,193917,0,0,163320,0,1
162,2120211121,2690,992,679,59381,3374,0,0,227055,5548,0,43189,18,1
163,0220012221,1981,991,344,0,0,0,0,144431,0,0,64027,8,1
164,0000000000,1338,995,583,13765,112,0,0,2951,0,0,4936,0,1
165,0000000000,2594,999,529,10063,0,2150,0,55542,0,0,124701,0,1
166,0000000000,2719,994,386,9862,2240,0,0,38590,0,0,0,0,1
167,0000000000,2468,1000,583,0,0,0,0,3766,0,0,20726,0,1
168,0000000000,1894,999,777,38,16,0,0,6718,0,32,2714,0,1
169,0000000000,2612,1000,352,2137,0,67431,0,82626,0,0,124462,0,1
170,0000000000,1303,997,249,14890,136,0,0,17050,0,56,40984,0,1
171,0000000000,2192,999,559,0,0,0,61,10715,0,0,5271,0,1
172,0000000000,2577,1001,355,0,0,8755,0,13898,0,0,71463,0,1
173,0000000000,2006,1001,418,0,0,0,0,31234,71,0,6405,0,1
174,0000000000,2159,1009,843,0,0,0,0,1155,22,0,453,0,1
175,0001012201,2539,1005,704,5063,0,162755,0,39713,0,0,10518,2,1
176,0000000000,2644,996,117,1476,0,340,0,26704,0,0,2193,0,1
177,2000012201,2666,1004,476,18716,0,30,0,97232,5,0,1688,0,1
178,0000000000,2374,1005,662,777,0,0,0,388663,2837,0,133849,0,1
179,0000000000,2350,1003,362,0,4940,0,0,100807,0,0,64217,0,1
180,0000000000,2629,1001,239,0,0,0,0,42122,0,1339,3358,0,1
181,0000000000,2514,1011,534,786,2267,0,0,7311,0,0,36809,0,1
182,0000000000,2562,1007,254,0,0,1697,0,1573,0,0,28384,0,1
183,0000000000,2121,1012,587,42,60,0,0,151708,5073,0,43902,0,1
184,0000000000,2252,1010,462,0,0,0,0,21802,0,0,18581,0,1
185,0000000000,2403,1011,346,5697,15,0,0,166241,3624,0,84063,0,1
186,0000000000,2649,1008,188,20771,0,0,0,41609,0,737,0,0,1
187,0000000000,2694,1012,468,62551,458,30190,0,129719,0,0,29889,0,1
188,0000000000,2712,1013,206,29803,0,0,0,20048,0,0,0,0,1
189,0000000000,1250,1013,458,107367,5,0,71,53793,0,109,59432,0,1
190,0000000000,2274,1021,782,0,89,0,0,267715,6214,0,145945,0,1
191,0000000000,2452,1017,455,0,5871,12501,0,1343,0,0,7879,0,1
192,0000000000,2628,1015,250,454,0,0,0,163765,0,32664,472,0,1
193,2120211121,2731,1023,650,29016,0,0,0,122080,0,0,0,18,1
194,0000000000,2085,1018,268,0,0,0,0,195428,0,0,107740,0,1
195,0000000000,2308,1024,667,0,0,0,0,168226,742,0,271752,0,1
196,0000000000,2010,1021,447,24274,0,203076,0,100162,166,0,360,0,1
197,0000000000,2348,1020,457,0,6001,0,0,113171,1845,0,117359,0,1
198,0220012221,1897,1031,1236,0,3933,0,0,590203,11670,0,223451,8,1
199,0000000000,2602,1027,686,403,774,0,0,71891,0,0,116726,0,1
200,0000000000,2029,1028,470,26761,10,379879,0,317840,8430,0,1990,0,1
201,2000012221,2104,1032,835,1102,3813,0,0,293968,6030,0,78006,9,1
202,0000000000,2192,1031,737,58,0,0,0,96748,1153,0,79999,0,1
203,0000000000,2645,1019,137,1804,1880,0,0,104433,0,16028,0,0,1
204,0000000000,2386,1029,526,12068,2560,12352,0,41948,0,0,25778,0,1
205,0000000000,2414,1029,484,289,5013,71235,2453,35032,3405,237,120461,0,1
206,0000000000,1681,1030,648,0,0,0,0,0,12,0,0,0,1
207,0000000000,2679,1030,444,0,0,0,0,214702,0,0,197624,0,1
208,0000000000,2546,1027,495,0,0,23778,0,359,0,0,316,0,1
209,0000000000,2658,1030,397,25707,0,0,0,31390,0,0,20128,0,1
210,0000000000,1981,1034,473,1327,670,0,0,88889,4775,0,79241,0,1
211,0000000000,1995,1032,227,0,0,0,0,3834,0,0,20780,0,1
212,0220012221,2225,1038,874,0,821,0,0,402812,14724,0,236760,8,1
213,0000000000,2327,1038,555,0,0,0,0,72446,58,0,76925,0,1
214,0000000000,2631,1032,477,12934,0,0,0,92382,0,100,4388,0,1
215,0000000000,2703,1037,598,3959,0,0,0,198033,0,0,95763,0,1
216,0000000000,2045,1042,462,30630,89,0,0,36231,0,0,11582,0,1
217,0000000000,2060,1033,103,0,0,0,0,39456,1695,0,39958,0,1
218,0000000000,2719,1038,146,793,0,0,0,2974,0,0,95,0,1
219,0000000000,2298,1051,845,561,2112,644,10,29112,75,357,33060,0,1
220,2100012201,2356,1043,696,0,1759,0,0,161636,437,0,58697,0,1
221,0000000000,1246,1041,406,2826,187,0,145,2875,164,0,1733,0,1
222,0000000000,1803,1047,736,0,0,0,0,29,0,0,0,0,1
223,0000000000,2073,1043,254,0,5291,0,0,48074,353,0,27269,0,1
224,0000000000,2746,1045,405,0,0,0,0,479,0,0,0,0,1
225,0000000000,1965,1047,482,2291,0,0,0,90266,510,0,156,0,1
226,0000000000,2403,1044,184,0,0,54373,0,2859,0,0,1837,0,1
227,0000000000,2617,1044,175,18,0,0,0,8656,0,0,277,0,1
228,0000000000,2130,1048,311,126,73,4960,0,10261,0,0,1607,0,1
229,0000000000,2009,1056,723,0,1999,37,0,5483,84,0,17602,0,1
230,0000000000,2672,1049,436,0,0,0,0,41464,0,0,69833,0,1
231,0000000000,1754,1051,388,0,0,0,0,0,0,0,0,0,0
232,0000000000,2155,1059,897,403,2225,21291,0,719,541,0,48432,0,1
233,0000000000,2386,1052,495,55,4004,6752,0,6236,0,0,13488,0,1
234,0001012201,2418,1056,500,1706,1559,2337,71,43672,10499,0,691,2,1
235,0000000000,2653,1053,214,22960,0,0,0,18073,0,0,23739,0,1
236,0000000000,1716,1057,698,0,0,0,0,1774,0,0,21,0,1
237,0000000000,1947,1055,268,1459,0,432,0,93220,92,0,51543,0,1
238,0000000000,2641,1055,189,3201,0,0,0,20067,0,0,33828,0,1
239,1220012221,2060,1056,320,1026,5271,577,2098,103971,2470,2750,28130,0,1
240,2120211121,2734,1064,665,3010,722,0,0,99136,3835,0,22379,18,1
241,0001012201,2107,1064,840,73892,7625,0,0,200995,433,0,49961,2,1
242,0000000000,1185,1063,637,100824,43,0,0,119637,13,0,104524,0,1
243,0000000000,1936,1062,336,7590,643,17645,0,96273,0,0,9747,0,1
