cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
1,0000000000,1199,478,661,3939,7681,0,10,132499,34851,0,76226,0,1
2,0000000000,1179,494,562,866,61,0,0,133826,13145,0,335799,0,1
3,0000000000,1209,503,718,34082,17197,0,0,282589,10407,0,93134,0,1
4,0122011201,1231,517,568,11371,39423,0,0,587574,0,334,4862,1,1
5,1110211211,1110,525,888,37130,6,701,0,229678,168389,1359,565937,2,1
6,0000000000,1067,521,502,28455,7631,0,0,128727,328,0,18205,0,1
7,1111111111,1269,529,957,36489,24975,0,0,846025,0,1234,3826,3,1
8,1111112111,1088,541,731,18092,3783,0,0,267164,3067,0,814459,0,1
9,0122011201,1214,539,606,14716,4939,0,4,367792,0,0,27678,1,1
10,0122011201,1241,537,470,17772,2894,0,0,271817,0,0,67,1,1
11,0000000000,1307,537,654,12351,0,0,0,211420,5245,0,106458,0,1
12,1110211211,1059,547,774,19732,693,0,0,208386,46256,0,346410,2,1
13,1111111111,1195,550,614,1648,14,0,0,167307,1929,0,177168,3,1
14,0000000000,1333,553,757,22408,0,0,0,300009,0,0,108134,0,1
15,0000000000,1263,558,632,59,1000,0,0,107308,3080,2,4478,0,1
16,0000000000,1288,559,727,38008,75,0,0,252214,16088,7445,111749,0,1
17,0122011201,1237,557,416,8176,29708,0,0,491942,0,12,1208,1,1
18,1110201211,1104,566,759,22614,87,0,0,187271,35504,0,182614,0,1
19,0000000000,1177,565,655,58844,20,0,0,264306,71950,0,107383,0,1
20,0000000000,1309,560,226,8609,0,0,0,100161,5914,0,15920,0,1
21,0122011201,1222,570,481,8988,0,0,0,377893,0,0,7816,1,1
22,0000000000,1316,579,733,4892,0,0,0,240712,3806,2452,100874,0,1
23,0122011201,1247,581,587,25945,35476,0,0,671700,0,65,1417,1,1
24,0000000000,1190,581,261,41673,0,0,0,112116,3554,0,7433,0,1
25,1112212211,1058,597,791,16812,10505,960,0,399375,7458,1144,248366,0,1
26,0122011201,1273,586,488,13661,3598,0,0,353578,1991,0,40074,1,1
27,0000000000,1342,589,645,0,0,0,0,326429,2646,0,288760,0,1
28,0122011201,1163,587,529,25198,21609,0,31,566109,854,0,25006,1,1
29,0122011201,1130,585,469,4517,362,0,0,341967,0,21,6117,1,1
30,0122011201,1221,591,471,12900,34421,0,0,554311,0,0,0,1,1
31,0000000000,1293,595,543,387,5,0,0,136723,10067,0,46830,0,1
32,1112211211,1082,598,691,23226,3675,0,0,201253,11371,0,314037,0,1
33,1122211211,1198,597,571,12286,34007,0,0,638665,1236,0,0,0,1
34,0122011201,1110,596,431,19253,917,0,0,213532,6704,0,16945,1,1
35,0122011201,1259,605,471,7676,3563,0,0,517039,0,77,6,1,1
36,0122011201,1241,609,448,4782,2564,0,0,222267,46,0,149,1,1
37,0000000000,1326,612,707,583,28331,0,0,239466,26,0,7339,0,1
38,0000000000,1125,609,405,1414,16877,0,0,220618,514,0,3,0,1
39,0122011201,1162,607,422,23901,3528,0,0,386717,0,0,36,1,1
40,0122011201,1143,617,433,4823,2332,15,221,263115,713,60,20382,1,1
41,0222012201,1182,616,500,15946,22103,0,0,559285,0,0,0,0,1
42,0122011201,1221,615,409,12446,49781,0,0,472689,34,0,0,1,1
43,0000000000,1278,609,113,7103,2283,0,0,133872,0,0,5170,0,1
44,1110212111,1098,618,548,46270,95,0,0,130520,5604,0,83099,0,1
45,0000000000,1071,621,321,0,5656,0,0,97802,29,0,302872,0,1
46,0000000000,1207,619,205,5433,18668,0,0,183923,0,0,0,0,1
47,0122011201,1287,626,517,22130,8712,0,0,278475,12,0,6423,1,1
48,0000000000,1272,619,116,6779,5694,0,0,102176,0,0,0,0,1
49,0000000000,1311,630,357,0,1105,0,0,156565,0,0,13924,0,1
50,0000000000,1338,638,862,0,4663,0,0,90843,0,0,13013,0,1
51,0000000000,1372,630,633,13474,864,0,0,120868,0,0,93454,0,1
52,0122011201,1163,630,422,4348,5853,0,0,352606,0,0,1360,1,1
53,0000000000,1255,627,202,559,9184,0,0,230862,0,0,0,0,1
54,0122011201,1120,628,400,8516,1179,0,0,195945,0,0,29760,1,1
55,1122111201,1198,635,521,7730,44521,0,0,275506,29,0,0,0,1
56,0122011201,1235,630,238,20902,18039,0,0,145454,0,0,0,1,1
57,1100011000,1051,643,793,25666,3090,0,42,149840,11,0,205809,0,1
58,0122011201,1265,641,497,14186,27340,0,0,474983,0,0,0,1,1
59,1110211211,1135,644,773,31556,7098,423,0,125787,0,460,387316,2,1
60,0122011201,1298,649,487,9981,250,0,0,161534,0,0,5543,1,1
61,1122202202,1218,650,555,17900,25516,0,0,497303,0,0,0,0,1
62,0122011201,1244,647,492,10183,16471,0,0,346873,22,0,4,1,1
63,0000000000,1180,651,536,38771,141,0,0,84301,0,0,0,0,1
64,0122011201,1363,651,547,13226,7957,0,0,192137,20,0,16523,1,1
65,0000000000,1281,651,209,10148,1292,0,161,40120,311,0,158,0,1
66,0000000000,1400,652,570,9428,7779,0,0,203565,11752,212,63725,0,1
67,0000000000,1029,657,658,20126,20416,0,12748,138783,10,0,151944,0,1
68,0122011201,1319,658,408,14372,6460,0,0,210422,0,0,2240,1,1
69,0000000000,1167,657,193,37397,0,0,0,22654,0,0,0,0,1
70,0000000000,1420,670,755,4536,23,0,0,200761,12708,0,72175,0,1
71,0000000000,1141,666,650,35715,0,0,9,122197,3645,0,7137,0,1
72,0122011201,1204,668,578,24989,75612,0,0,693096,0,105,36,1,1
73,0000000000,1346,663,252,166,0,0,0,80351,0,0,17667,0,1
74,0122011201,1382,670,692,19609,32718,0,0,649628,0,0,21503,1,1
75,0000000000,1239,668,444,10815,11753,0,0,454476,0,0,0,0,1
76,0122011201,1271,667,346,9265,9728,0,0,170590,0,0,0,1,1
77,0122011201,1296,674,487,9610,16009,0,0,232889,0,0,15,1,1
78,0110211211,1005,684,1701,29167,1255,0,0,232552,158,73,773998,0,1
79,1100211211,1076,677,701,0,38,0,0,90535,83,0,463606,0,1
80,0122011201,1324,673,302,40255,4263,0,0,138742,0,0,2079,1,1
81,0000000000,1171,672,239,73,932,0,9,13714,0,0,134,0,1
82,0000000000,1351,681,570,489,104,0,0,149139,0,0,107054,0,1
83,0122011201,1223,687,546,21247,61671,0,0,582176,0,11,0,1,1
84,1110211211,1158,687,749,64433,340,0,0,137534,0,4022,24575,2,1
85,1112111111,1194,687,613,45021,47807,0,24,641805,296,0,52,0,1
