record #,retina,C/P,age,cone,gang,horiz,ama,rods,bip,mul
1,305,c,e14,,1,,,,,
2,305,c,e14,,,,1,,,
3,305,c,e14,1,,,,,,
4,305,c,e14,1,,,,,,
5,305,c,e14,1,,,,,,
6,305,c,e14,1,,,,,,
7,305,c,e14,1,,,,,,
8,305,c,e14,1,,,,,,
9,305,c,e14,1,,,,,,
10,305,c,e14,1,,,,,,
11,305,c,e14,1,,,,,,
12,305,c,e14,1,,,,,,
13,305,c,e14,1,,,,,,
14,305,c,e14,1,,,,,,
15,305,c,e14,1,,,,,,
16,305,c,e14,1,,,,,,
17,305,c,e14,1,,,,,,
18,305,c,e14,1,,,,,,
19,305,c,e14,1,,,,,,
20,305,c,e14,1,,,,,,
21,305,c,e14,,,,,,,
22,305,c,e14,,,,,,,
23,305,c,e14,,,,,,,
24,305,c,e14,2,,,,,,
25,305,c,e14,2,,,,,,
26,305,c,e14,,,,,8,,
27,305,c,e14,1,,,1,,,
28,305,c,e14,1,,,,,,
29,305,c,e14,1,,,,,,
30,305,c,e14,,,,,10,1,
31,305,c,e14,,,,,13,1,
32,305,c,e14,,,,,14,1,
33,305,c,e14,,,,2,15,,
34,305,c,e14,,,,,19,3,
35,305,c,e14,,,,,22,1,
36,305,c,e14,,,,,22,4,
37,305,c,e14,,,,,20,6,
38,305,c,e14,,,,,30,4,
39,305,c,e14,,,,,36,4,
40,305,c,e14,,,,,40,,
41,305,c,e14,,,,2,9,1,
42,305,c,e14,,,,1,10,2,
43,305,c,e14,,,,,11,2,1
44,305,c,e14,,,,3,11,3,
45,305,c,e14,,,,2,14,2,
46,305,c,e14,,,,2,12,5,
47,305,c,e14,,,,1,14,4,
48,305,c,e14,,,,1,17,2,
49,305,c,e14,,,,1,18,1,
50,305,c,e14,,,,,15,4,
51,305,c,e14,,,,,18,2,1
52,305,c,e14,,,,3,16,3,
53,305,c,e14,1,,,,19,3,
54,305,c,e14,,,,,25,2,1
55,305,c,e14,,,,2,23,5,
56,305,c,e14,,,,,25,4,1
57,305,c,e14,,,,2,28,2,
58,305,c,e14,,,,4,27,1,
59,305,c,e14,,,,3,25,6,
60,305,c,e14,,,,1,34,1,
61,305,c,e14,,,,3,29,7,
62,305,c,e14,,,,1,43,10,
63,305,c,e14,,,,1,7,1,1
64,305,c,e14,,,,1,17,3,1
65,305,c,e14,,,,3,20,2,1
66,305,c,e14,,,,1,21,4,1
67,305,c,e14,,,,,29,3,1
68,305,c,e14,,,,2,34,5,1
69,305,c,e14,,,,1,46,8,
70,305,c,e14,1,,,1,52,5,
71,305,c,e14,,,,2,59,4,1
72,305,c,e14,1,,,4,53,12,2
73,305,p,e14,,,,1,,,
74,305,p,e14,,1,,,,,
75,305,p,e14,,1,,,,,
76,305,p,e14,1,,,,,,
77,305,p,e14,1,,,,,,
78,305,p,e14,1,,,,,,
79,305,p,e14,1,,,,,,
80,305,p,e14,1,,,,,,
81,305,p,e14,1,,,,,,
82,305,p,e14,,,,,,,
83,305,p,e14,,,,,33,,
84,305,p,e14,1,,,,2,,
85,305,p,e14,2,1,,,,,
86,305,p,e14,,,,,13,1,
87,305,p,e14,,,,,24,4,
88,305,p,e14,,,,,27,2,
89,305,p,e14,,,,3,12,5,
90,305,p,e14,,,,,19,4,1
