,cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_id,rowsum,clust_label,umap_1,umap_2
0,1,0,1497,138,479,15753,0,0,2927,3735,0,0,1276,0,1,0,-6.0098634,-3.5707319
1,2,0,1475,146,555,16073,1943,0,0,96191,0,73,614103,0,1,1,1.9376671,6.1481843
2,3,0,1541,154,317,0,0,0,0,0,0,0,24,0,1,0,-9.104395,-1.4484679
3,4,0,1411,158,524,90335,0,0,0,111142,0,254,83263,0,1,2,2.5944421,-5.2770205
4,5,0,1452,161,245,51515,0,0,0,61255,0,0,69423,0,1,2,2.6711762,-5.1455956
5,6,0,1513,166,526,514,3815,0,0,20476,0,0,318217,0,1,1,-0.4991181,5.47208
6,7,0,1468,166,390,104003,9,0,0,102749,0,0,67832,0,1,0,4.2947216,-5.5550733
7,8,1110111010,1493,170,458,142810,0,0,0,139602,0,0,172439,0,1,-1,4.7922025,-5.5093117
8,9,0,1441,177,567,49180,0,0,0,164353,0,10,327978,0,1,1,-0.60145694,3.969267
9,10,0,1533,175,338,0,0,0,0,0,0,0,4219,0,1,0,-8.604457,-1.7067
10,11,0,1423,172,109,1497,0,0,0,56743,0,0,92803,0,1,1,1.2278913,5.3541985
12,13,1110111000,1332,180,592,194706,0,0,0,235057,0,0,147378,0,1,0,5.1962094,-5.4458055
13,14,0,1385,181,410,2801,846,0,0,61620,0,0,338362,0,1,1,0.8101266,5.9926944
14,15,0,1408,179,364,19376,300,0,0,39285,0,0,200145,0,1,1,-1.0514531,4.280965
15,16,0,1363,185,491,42035,0,0,0,99615,0,0,68239,0,1,3,-2.863579,-2.6059692
16,17,0,1476,186,563,122431,1,0,0,112988,0,0,277,0,1,0,3.933747,-5.7522454
17,18,1110111011,1429,195,508,33387,89,0,0,31062,0,0,44776,0,1,4,-3.6515977,-3.453416
18,19,0,1549,197,744,0,0,0,0,22004,0,0,0,0,1,0,-8.231619,-2.2917163
19,20,0,1322,192,171,21541,0,0,0,94051,0,0,276753,0,1,1,3.0776913,6.4027596
20,21,0,1401,198,479,23239,0,0,0,18269,0,0,24366,0,1,0,-4.6258354,-3.628908
21,22,0,1275,203,718,28958,20,0,20,276903,22,76,853455,0,1,1,2.0768445,6.02675
22,23,0,1308,206,616,71136,0,0,0,218147,7,0,1095416,0,1,1,3.1897213,6.489551
23,24,0,1375,204,345,112,27,0,0,961,0,0,50915,0,1,5,-3.9767442,1.5862693
24,25,0,1334,208,548,208622,0,0,2121,102650,0,0,328864,0,1,-1,4.922324,-5.513933
25,26,0,1355,211,402,29485,1330,0,0,12491,0,0,14405,0,1,-1,-3.2414494,-4.263216
26,27,0,1486,213,768,0,26,0,0,23181,0,0,0,0,1,0,-8.182632,-2.28351
27,28,0,1527,221,709,14,1314,0,0,5917,0,0,0,0,1,0,-7.682627,-2.0894468
28,29,1110111011,1259,226,638,277218,0,0,0,236816,0,0,305592,0,1,0,5.282445,-5.4597063
29,30,0,1294,220,213,15578,28,0,0,33169,0,0,60432,0,1,5,-3.3503277,0.55477446
30,31,0,1280,227,330,39428,3,0,0,100103,14,0,90365,0,1,3,-2.3401983,-2.4505284
31,32,0,1313,232,480,51003,66,0,0,2428,0,20,28087,0,1,0,-0.76551914,-5.835554
